Id,Target,m_rate
003014_044,10 23,153_49
003014_046,10 23,153_49
003014_048,10 23,153_49
003014_050,10 23,153_49
003014_052,10 23,153_49
003014_054,10 23,153_49
003014_056,10 23,153_49
003014_058,10 23,153_49
003014_060,10 23,153_49
003014_062,10 23,153_49
003014_064,10 23,153_49
003014_066,10 23,153_49
003014_068,10 23,153_49
003015_000,10 23,153_25
003015_002,10 23,153_25
003015_004,10 23,153_25
003015_006,10 23,153_25
003015_008,10 23,153_25
003015_010,10 23,153_25
003015_012,10 23,153_25
003015_014,10 23,153_25
003015_016,10 23,153_25
003015_018,10 23,153_25
003015_020,10 23,153_25
003015_022,10 23,153_25
003015_024,10 23,153_25
003015_026,10 23,153_25
003015_028,10 23,153_25
003015_030,10 23,153_25
003015_032,10 23,153_25
003015_034,10 23,153_25
003015_036,10 23,153_25
003015_038,10 23,153_25
003015_040,10 23,153_25
003015_042,10 23,153_25
003015_044,10 23,153_25
003015_046,10 23,153_25
003015_048,10 23,153_25
003015_050,10 23,153_25
003015_052,10 23,153_25
003015_054,10 23,153_25
003015_056,10 23,153_25
003015_058,10 23,153_25
003015_060,10 23,153_25
003015_062,10 23,153_25
003015_064,10 23,153_25
003015_066,10 23,153_25
003015_068,10 23,153_25
003016_000,10,153_0
003016_002,10,153_0
003016_004,10,153_0
003016_006,10,153_0
003016_008,10,153_0
003016_010,10,153_0
003016_012,10,153_0
003016_014,10,153_0
003016_016,10,153_0
003016_018,10,153_0
003016_020,10,153_0
003016_022,10,153_0
003016_024,10,153_0
003016_026,10,153_0
003016_028,10,153_0
003016_030,10,153_0
003016_032,10,153_0
003016_034,10,153_0
003016_036,10,153_0
003016_038,10,153_0
003016_040,10,153_0
003016_042,10,153_0
003016_044,10,153_0
003016_046,10,153_0
003016_048,10,153_0
003016_050,10,153_0
003016_052,10,153_0
003016_054,10,153_0
003016_056,10,153_0
003016_058,10,153_0
003016_060,10,153_0
003016_062,10,153_0
003016_064,10,153_0
003016_066,10,153_0
003016_068,10,153_0
004009_000,10 23,109_700
004009_002,10 23,109_700
004009_004,10 23,109_700
004009_006,10 23,109_700
004009_008,10 23,109_700
004009_010,10 23,109_700
004009_012,10 23,109_700
004009_014,10 23,109_700
004009_016,10 23,109_700
004009_018,10 23,109_700
004009_020,10 23,109_700
004009_022,10 23,109_700
004009_024,10 23,109_700
004009_026,10 23,109_700
004009_028,10 23,109_700
004009_030,10 23,109_700
004009_032,10 23,109_700
004009_034,10 23,109_700
004009_036,10 23,109_700
004009_038,10 23,109_700
004009_040,10 23,109_700
004009_042,10 23,109_700
004009_044,10 23,109_700
004009_046,10 23,109_700
004009_048,10 23,109_700
004009_050,10 23,109_700
004009_052,10 23,109_700
004009_054,10 23,109_700
004009_056,10 23,109_700
004009_058,10 23,109_700
004009_060,10 23,109_700
004009_062,10 23,109_700
004009_064,10 23,109_700
004009_066,10 23,109_700
004009_068,10 23,109_700
004010_000,10 23,109_412
004010_002,10 23,109_412
004010_004,10 23,109_412
004010_006,10 23,109_412
004010_008,10 23,109_412
004010_010,10 23,109_412
004010_012,10 23,109_412
004010_014,10 23,109_412
004010_016,10 23,109_412
004010_018,10 23,109_412
004010_020,10 23,109_412
004010_022,10 23,109_412
004010_024,10 23,109_412
004010_026,10 23,109_412
004010_028,10 23,109_412
004010_030,10 23,109_412
004010_032,10 23,109_412
004010_034,10 23,109_412
004010_036,10 23,109_412
004010_038,10 23,109_412
004010_040,10 23,109_412
004010_042,10 23,109_412
004010_044,10 23,109_412
004010_046,10 23,109_412
004010_048,10 23,109_412
004010_050,10 23,109_412
004010_052,10 23,109_412
004010_054,10 23,109_412
004010_056,10 23,109_412
004010_058,10 23,109_412
004010_060,10 23,109_412
004010_062,10 23,109_412
004010_064,10 23,109_412
004010_066,10 23,109_412
004010_068,10 23,109_412
004011_000,10 23,109_242
004011_002,10 23,109_242
004011_004,10 23,109_242
004011_006,10 23,109_242
004011_008,10 23,109_242
004011_010,10 23,109_242
004011_012,10 23,109_242
004011_014,10 23,109_242
004011_016,10 23,109_242
004011_018,10 23,109_242
004011_020,10 23,109_242
004011_022,10 23,109_242
004011_024,10 23,109_242
004011_026,10 23,109_242
004011_028,10 23,109_242
004011_030,10 23,109_242
004011_032,10 23,109_242
004011_034,10 23,109_242
004011_036,10 23,109_242
004011_038,10 23,109_242
004011_040,10 23,109_242
004011_042,10 23,109_242
004011_044,10 23,109_242
004011_046,10 23,109_242
004011_048,10 23,109_242
004011_050,10 23,109_242
004011_052,10 23,109_242
004011_054,10 23,109_242
004011_056,10 23,109_242
004011_058,10 23,109_242
004011_060,10 23,109_242
004011_062,10 23,109_242
004011_064,10 23,109_242
004011_066,10 23,109_242
004011_068,10 23,109_242
004012_000,10 23,109_142
004012_002,10 23,109_142
004012_004,10 23,109_142
004012_006,10 23,109_142
004012_008,10 23,109_142
004012_010,10 23,109_142
004012_012,10 23,109_142
004012_014,10 23,109_142
004012_016,10 23,109_142
004012_018,10 23,109_142
004012_020,10 23,109_142
004012_022,10 23,109_142
004012_024,10 23,109_142
004012_026,10 23,109_142
004012_028,10 23,109_142
004012_030,10 23,109_142
004012_032,10 23,109_142
004012_034,10 23,109_142
004012_036,10 23,109_142
004012_038,10 23,109_142
004012_040,10 23,109_142
004012_042,10 23,109_142
004012_044,10 23,109_142
004012_046,10 23,109_142
004012_048,10 23,109_142
004012_050,10 23,109_142
004012_052,10 23,109_142
004012_054,10 23,109_142
004012_056,10 23,109_142
004012_058,10 23,109_142
004012_060,10 23,109_142
004012_062,10 23,109_142
004012_064,10 23,109_142
004012_066,10 23,109_142
004012_068,10 23,109_142
004013_000,10 23,109_84
004013_002,10 23,109_84
004013_004,10 23,109_84
004013_006,10 23,109_84
004013_008,10 23,109_84
004013_010,10 23,109_84
004013_012,10 23,109_84
004013_014,10 23,109_84
004013_016,10 23,109_84
004013_018,10 23,109_84
004013_020,10 23,109_84
004013_022,10 23,109_84
004013_024,10 23,109_84
004013_026,10 23,109_84
004013_028,10 23,109_84
004013_030,10 23,109_84
004013_032,10 23,109_84
004013_034,10 23,109_84
004013_036,10 23,109_84
004013_038,10 23,109_84
004013_040,10 23,109_84
004013_042,10 23,109_84
004013_044,10 23,109_84
004013_046,10 23,109_84
004013_048,10 23,109_84
004013_050,10 23,109_84
004013_052,10 23,109_84
004013_054,10 23,109_84
004013_056,10 23,109_84
004013_058,10 23,109_84
004013_060,10 23,109_84
004013_062,10 23,109_84
004013_064,10 23,109_84
004013_066,10 23,109_84
004013_068,10 23,109_84
004014_000,10 23,109_49
004014_002,10 23,109_49
004014_004,10 23,109_49
004014_006,10 23,109_49
004014_008,10 23,109_49
004014_010,10 23,109_49
004014_012,10 23,109_49
004014_014,10 23,109_49
004014_016,10 23,109_49
004014_018,10 23,109_49
004014_020,10 23,109_49
004014_022,10 23,109_49
004014_024,10 23,109_49
004014_026,10 23,109_49
004014_028,10 23,109_49
004014_030,10 23,109_49
004014_032,10 23,109_49
004014_034,10 23,109_49
004014_036,10 23,109_49
004014_038,10 23,109_49
004014_040,10 23,109_49
004014_042,10 23,109_49
004014_044,10 23,109_49
004014_046,10 23,109_49
004014_048,10 23,109_49
004014_050,10 23,109_49
004014_052,10 23,109_49
004014_054,10 23,109_49
004014_056,10 23,109_49
004014_058,10 23,109_49
004014_060,10 23,109_49
004014_062,10 23,109_49
004014_064,10 23,109_49
004014_066,10 23,109_49
004014_068,10 23,109_49
004015_000,10 23,109_25
004015_002,10 23,109_25
004015_004,10 23,109_25
004015_006,10 23,109_25
004015_008,10 23,109_25
004015_010,10 23,109_25
004015_012,10 23,109_25
004015_014,10 23,109_25
004015_016,10 23,109_25
004015_018,10 23,109_25
004015_020,10 23,109_25
004015_022,10 23,109_25
004015_024,10 23,109_25
004015_026,10 23,109_25
004015_028,10 23,109_25
004015_030,10 23,109_25
004015_032,10 23,109_25
004015_034,10 23,109_25
004015_036,10 23,109_25
004015_038,10 23,109_25
004015_040,10 23,109_25
004015_042,10 23,109_25
004015_044,10 23,109_25
004015_046,10 23,109_25
004015_048,10 23,109_25
004015_050,10 23,109_25
004015_052,10 23,109_25
004015_054,10 23,109_25
004015_056,10 23,109_25
004015_058,10 23,109_25
004015_060,10 23,109_25
004015_062,10 23,109_25
004015_064,10 23,109_25
004015_066,10 23,109_25
004015_068,10 23,109_25
004016_000,10,109_0
004016_002,10,109_0
004016_004,10,109_0
004016_006,10,109_0
004016_008,10,109_0
004016_010,10,109_0
004016_012,10,109_0
004016_014,10,109_0
004016_016,10,109_0
004016_018,10,109_0
004016_020,10,109_0
004016_022,10,109_0
004016_024,10,109_0
004016_026,10,109_0
004016_028,10,109_0
004016_030,10,109_0
004016_032,10,109_0
004016_034,10,109_0
004016_036,10,109_0
004016_038,10,109_0
004016_040,10,109_0
004016_042,10,109_0
004016_044,10,109_0
004016_046,10,109_0
004016_048,10,109_0
004016_050,10,109_0
004016_052,10,109_0
004016_054,10,109_0
004016_056,10,109_0
004016_058,10,109_0
004016_060,10,109_0
004016_062,10,109_0
004016_064,10,109_0
004016_066,10,109_0
004016_068,10,109_0
005009_000,10 23,78_700
005009_002,10 23,78_700
005009_004,10 23,78_700
005009_006,10 23,78_700
005009_008,10 23,78_700
005009_010,10 23,78_700
005009_012,10 23,78_700
005009_014,10 23,78_700
005009_016,10 23,78_700
005009_018,10 23,78_700
005009_020,10 23,78_700
005009_022,10 23,78_700
005009_024,10 23,78_700
005009_026,10 23,78_700
005009_028,10 23,78_700
005009_030,10 23,78_700
005009_032,10 23,78_700
005009_034,10 23,78_700
005009_036,10 23,78_700
005009_038,10 23,78_700
005009_040,10 23,78_700
005009_042,10 23,78_700
005009_044,10 23,78_700
005009_046,10 23,78_700
005009_048,10 23,78_700
005009_050,10 23,78_700
005009_052,10 23,78_700
005009_054,10 23,78_700
005009_056,10 23,78_700
005009_058,10 23,78_700
005009_060,10 23,78_700
005009_062,10 23,78_700
005009_064,10 23,78_700
005009_066,10 23,78_700
005009_068,10 23,78_700
005010_000,10 23,78_412
005010_002,10 23,78_412
005010_004,10 23,78_412
005010_006,10 23,78_412
005010_008,10 23,78_412
005010_010,10 23,78_412
005010_012,10 23,78_412
005010_014,10 23,78_412
005010_016,10 23,78_412
005010_018,10 23,78_412
005010_020,10 23,78_412
005010_022,10 23,78_412
005010_024,10 23,78_412
005010_026,10 23,78_412
005010_028,10 23,78_412
005010_030,10 23,78_412
005010_032,10 23,78_412
005010_034,10 23,78_412
005010_036,10 23,78_412
005010_038,10 23,78_412
005010_040,10 23,78_412
005010_042,10 23,78_412
005010_044,10 23,78_412
005010_046,10 23,78_412
005010_048,10 23,78_412
005010_050,10 23,78_412
005010_052,10 23,78_412
005010_054,10 23,78_412
005010_056,10 23,78_412
005010_058,10 23,78_412
005010_060,10 23,78_412
005010_062,10 23,78_412
005010_064,10 23,78_412
005010_066,10 23,78_412
005010_068,10 23,78_412
005011_000,10 23,78_242
005011_002,10 23,78_242
005011_004,10 23,78_242
005011_006,10 23,78_242
005011_008,10 23,78_242
005011_010,10 23,78_242
005011_012,10 23,78_242
005011_014,10 23,78_242
005011_016,10 23,78_242
005011_018,10 23,78_242
005011_020,10 23,78_242
005011_022,10 23,78_242
005011_024,10 23,78_242
005011_026,10 23,78_242
005011_028,10 23,78_242
005011_030,10 23,78_242
005011_032,10 23,78_242
005011_034,10 23,78_242
005011_036,10 23,78_242
005011_038,10 23,78_242
005011_040,10 23,78_242
005011_042,10 23,78_242
005011_044,10 23,78_242
005011_046,10 23,78_242
005011_048,10 23,78_242
005011_050,10 23,78_242
005011_052,10 23,78_242
005011_054,10 23,78_242
005011_056,10 23,78_242
005011_058,10 23,78_242
005011_060,10 23,78_242
005011_062,10 23,78_242
005011_064,10 23,78_242
005011_066,10 23,78_242
005011_068,10 23,78_242
005012_000,10 23,78_142
005012_002,10 23,78_142
005012_004,10 23,78_142
005012_006,10 23,78_142
005012_008,10 23,78_142
005012_010,10 23,78_142
005012_012,10 23,78_142
005012_014,10 23,78_142
005012_016,10 23,78_142
005012_018,10 23,78_142
005012_020,10 23,78_142
